id,id2label,id2category
0,Turtle neck,Head
1,"Bulging face, deep breath",Head
2,Touching hat,Head-hand
3,Touching or scratching head,Head-hand
4,Touching or scratching forehead,Head-hand
5,Covering face,Head-hand
6,Rubbing eyes,Head-hand
7,Touching or scratching facial parts,Head-hand
8,Touching ears,Head-hand
9,Biting nails,Head-hand
10,Touching jaw,Head-hand
11,Touching or scratching neck,Body-hand
12,Playing with or adjusting hair,Body-hand
13,"Buckle button, pulling shirt collar, adjusting tie",Body-hand
14,Touching or covering suprasternal notch,Body-hand
15,Scratching back,Body-hand
16,Folding arms,Body-hand
17,Dustoffing clothes,Body-hand
18,Putting arms behind body,Body-hand
19,Moving torso,Body
20,Sitting upright,Body
21,Scratching or touching arms,Hand
22,Rubbing or holding hands,Hand
23,Crossing fingers,Hand
24,Minaret gesture,Hand
25,Playing with or manipulating objects,Hand
26,Hold back arms,Hand
27,Head up,Head
28,Pressing lips,Head
29,Arms akimbo,Hand
30,Shaking shoulders,Body
31,Illustrative body language,Illustrative
